"date,state,fips,cases,deaths"
"2020-02-26,Punjab,2,0,0"
"2020-02-27,Punjab,2,0,0"
"2020-02-28,Punjab,2,0,0"
"2020-03-01,Punjab,2,0,0"
"2020-03-02,Punjab,2,1,0"
"2020-03-03,Punjab,2,1,0"
"2020-03-04,Punjab,2,1,0"
"2020-03-05,Punjab,2,1,0"
"2020-03-06,Punjab,2,1,0"
"2020-03-07,Punjab,2,1,0"
"2020-03-08,Punjab,2,1,0"
"2020-03-09,Punjab,2,1,0"
"2020-03-10,Punjab,2,1,0"
"2020-03-11,Punjab,2,1,0"
"2020-03-12,Punjab,2,1,0"
"2020-03-13,Punjab,2,1,0"
"2020-03-14,Punjab,2,1,0"
"2020-03-15,Punjab,2,5,0"
"2020-03-16,Punjab,2,13,0"
"2020-03-17,Punjab,2,26,0"
"2020-03-18,Punjab,2,33,0"
"2020-03-19,Punjab,2,83,0"
"2020-03-20,Punjab,2,104,0"
"2020-03-21,Punjab,2,152,0"
"2020-03-22,Punjab,2,225,0"
"2020-03-23,Punjab,2,249,0"
"2020-03-24,Punjab,2,296,1"
"2020-03-25,Punjab,2,323,2"
"2020-03-26,Punjab,2,408,3"
"2020-03-27,Punjab,2,490,5"
"2020-03-28,Punjab,2,558,5"
"2020-03-29,Punjab,2,593,6"
"2020-03-30,Punjab,2,652,9"
"2020-03-31,Punjab,2,708,9"
"2020-04-01,Punjab,2,845,11"
"2020-04-02,Punjab,2,920,11"
"2020-04-03,Punjab,2,1072,11"
"2020-04-04,Punjab,2,1163,12"
"2020-04-05,Punjab,2,1493,15"
"2020-04-06,Punjab,2,1918,15"
"2020-04-07,Punjab,2,2030,16"
"2020-04-08,Punjab,2,2171,17"
"2020-04-09,Punjab,2,2279,18"
"2020-04-10,Punjab,2,2336,19"
"2020-04-11,Punjab,2,2425,21"
"2020-04-12,Punjab,2,2594,23"
"2020-04-13,Punjab,2,2826,24"
"2020-04-14,Punjab,2,2945,28"
"2020-04-15,Punjab,2,3217,34"
"2020-04-16,Punjab,2,3276,36"
"2020-04-17,Punjab,2,3391,37"
"2020-04-18,Punjab,2,3649,41"
"2020-04-19,Punjab,2,3721,42"
"2020-04-20,Punjab,2,4195,45"
"2020-04-21,Punjab,2,4328,51"
"2020-04-22,Punjab,2,4590,58"
"2020-04-23,Punjab,2,4767,65"
"2020-04-24,Punjab,2,5046,73"
"2020-04-25,Punjab,2,5378,81"
"2020-04-26,Punjab,2,5446,83"
"2020-04-27,Punjab,2,5640,91"
"2020-04-28,Punjab,2,5827,100"
"2020-04-29,Punjab,2,6061,103"
"2020-04-30,Punjab,2,6340,106"
"2020-05-01,Punjab,2,6733,115"
"2020-05-02,Punjab,2,7106,120"
"2020-05-03,Punjab,2,7524,124"
"2020-05-04,Punjab,2,8103,136"
"2020-05-05,Punjab,2,8420,156"
"2020-05-06,Punjab,2,9077,175"
"2020-05-07,Punjab,2,10033,183"
"2020-05-08,Punjab,2,10471,191"
"2020-05-09,Punjab,2,11093,192"
"2020-05-10,Punjab,2,11568,197"
"2020-05-11,Punjab,2,11869,211"
"2020-05-12,Punjab,2,13225,214"
"2020-05-13,Punjab,2,13561,223"
"2020-05-14,Punjab,2,13914,234"
"2020-05-15,Punjab,2,14201,245"
"2020-05-16,Punjab,2,14584,252"
"2020-05-17,Punjab,2,15346,260"
"2020-05-18,Punjab,2,15976,273"
"2020-05-19,Punjab,2,16685,289"
"2020-05-20,Punjab,2,17382,297"
"2020-05-21,Punjab,2,18455,310"
"2020-05-22,Punjab,2,18730,324"
"2020-05-23,Punjab,2,19557,332"
"2020-05-24,Punjab,2,20077,337"
"2020-05-25,Punjab,2,29654,352"
"2020-05-26,Punjab,2,21118,362"
"2020-05-27,Punjab,2,22037,381"
"2020-05-28,Punjab,2,22964,410"
"2020-05-29,Punjab,2,24104,439"
"2020-05-30,Punjab,2,25056,475"
"2020-05-31,Punjab,2,26240,497"
